Ardent1,35.71
Ardent2,34.93
Ardent3,34.27
Ardent4,34.74
Ardent5,35.9
Ardent6,34.51
Ardent7,34.52
Ardent8,36.12
Ardent9,35.71
Ardent10,34.68
Ardent11,35.71
Ardent12,35.01
Ardent13,35.68
Ardent14,36.23
Ardent15,34.52
Ardent16,36.72
Ardent17,35.71
Ardent18,35.35
Ardent19,35.71
Ardent20,34.21
Ardent21,36.72
Ardent22,36.22
Ardent23,35.52
Ardent24,36.58
Ardent25,35.71
Ardent26,34.52
Ardent27,35.71
Ardent28,34.78
Ardent29,35.71
Ardent30,34.92
Ardent31,35.71
Ardent32,35.71
Ardent33,35.55
Ardent34,36.01
Ardent35,34.29
Ardent36,35.88
Ardent37,33.95
Ardent38,34.92
